timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666139867504,289,Post_Authors,200,OK,EnduranceTestSuite 1-1,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,289,0,158
1666139867794,363,Get_All_Author,200,OK,EnduranceTestSuite 1-1,text,true,,47875,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,123,0,0
1666139868157,122,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-1,text,true,,637,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/1,122,0,0
1666139868279,121,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-1,text,true,,637,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,121,0,0
1666139868400,121,Update_Authors,200,OK,EnduranceTestSuite 1-1,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,121,0,0
1666139868521,129,Delete_Author,200,OK,EnduranceTestSuite 1-1,,true,,211,227,1,1,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,129,0,0
1666139869505,385,Post_Authors,200,OK,EnduranceTestSuite 1-2,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,384,0,180
1666139869890,616,Get_All_Author,200,OK,EnduranceTestSuite 1-2,text,true,,95659,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,144,0,0
1666139870506,189,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-2,text,true,,870,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,189,0,0
1666139870696,219,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-2,text,true,,758,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/9,219,0,0
1666139870915,190,Update_Authors,200,OK,EnduranceTestSuite 1-2,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,190,0,0
1666139871105,177,Delete_Author,200,OK,EnduranceTestSuite 1-2,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,177,0,0
1666139871504,362,Post_Authors,200,OK,EnduranceTestSuite 1-3,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,362,0,230
1666139871866,399,Get_All_Author,200,OK,EnduranceTestSuite 1-3,text,true,,71767,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,124,0,0
1666139872265,123,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-3,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,123,0,0
1666139872389,121,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-3,text,true,,640,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,121,0,0
1666139872511,122,Update_Authors,200,OK,EnduranceTestSuite 1-3,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,122,0,0
1666139872634,121,Delete_Author,200,OK,EnduranceTestSuite 1-3,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,121,0,0
1666139873507,240,Post_Authors,200,OK,EnduranceTestSuite 1-4,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,240,0,115
1666139873748,348,Get_All_Author,200,OK,EnduranceTestSuite 1-4,text,true,,47875,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,119,0,0
1666139874096,117,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-4,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/7,117,0,0
1666139874213,117,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-4,text,true,,637,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/1,117,0,0
1666139874330,117,Update_Authors,200,OK,EnduranceTestSuite 1-4,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/1,117,0,0
1666139874447,116,Delete_Author,200,OK,EnduranceTestSuite 1-4,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/1,116,0,0
1666139875506,233,Post_Authors,200,OK,EnduranceTestSuite 1-5,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,233,0,115
1666139875739,348,Get_All_Author,200,OK,EnduranceTestSuite 1-5,text,true,,47875,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,120,0,0
1666139876089,118,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-5,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/9,118,0,0
1666139876208,118,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-5,text,true,,643,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/7,118,0,0
1666139876327,119,Update_Authors,200,OK,EnduranceTestSuite 1-5,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/7,119,0,0
1666139876446,118,Delete_Author,200,OK,EnduranceTestSuite 1-5,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/7,118,0,0
1666139877509,232,Post_Authors,200,OK,EnduranceTestSuite 1-6,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,232,0,116
1666139877742,459,Get_All_Author,200,OK,EnduranceTestSuite 1-6,text,true,,95659,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,118,0,0
1666139878201,118,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-6,text,true,,749,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/1,118,0,0
1666139878319,117,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-6,text,true,,870,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,117,0,0
1666139878436,117,Update_Authors,200,OK,EnduranceTestSuite 1-6,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,117,0,0
1666139878553,116,Delete_Author,200,OK,EnduranceTestSuite 1-6,,true,,211,227,1,1,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,116,0,0
1666139879507,243,Post_Authors,200,OK,EnduranceTestSuite 1-7,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,243,0,114
1666139879750,460,Get_All_Author,200,OK,EnduranceTestSuite 1-7,text,true,,95659,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,118,0,0
1666139880210,119,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-7,text,true,,870,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,119,0,0
1666139880329,117,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-7,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/9,117,0,0
1666139880446,116,Update_Authors,200,OK,EnduranceTestSuite 1-7,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,116,0,0
1666139880563,116,Delete_Author,200,OK,EnduranceTestSuite 1-7,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,116,0,0
1666139881507,247,Post_Authors,200,OK,EnduranceTestSuite 1-8,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,247,0,118
1666139881754,488,Get_All_Author,200,OK,EnduranceTestSuite 1-8,text,true,,95659,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,132,0,0
1666139882242,121,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-8,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,121,0,0
1666139882363,120,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-8,text,true,,640,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,120,0,0
1666139882483,121,Update_Authors,200,OK,EnduranceTestSuite 1-8,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,121,0,0
1666139882605,121,Delete_Author,200,OK,EnduranceTestSuite 1-8,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,121,0,0
1666139883506,247,Post_Authors,200,OK,EnduranceTestSuite 1-9,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,247,0,115
1666139883753,373,Get_All_Author,200,OK,EnduranceTestSuite 1-9,text,true,,71767,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,137,0,0
1666139884126,118,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-9,text,true,,758,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/7,118,0,0
1666139884244,118,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-9,text,true,,861,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/1,118,0,0
1666139884362,121,Update_Authors,200,OK,EnduranceTestSuite 1-9,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/1,121,0,0
1666139884484,117,Delete_Author,200,OK,EnduranceTestSuite 1-9,,true,,211,227,1,1,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/1,117,0,0
1666139885507,237,Post_Authors,200,OK,EnduranceTestSuite 1-10,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,237,0,114
1666139885745,349,Get_All_Author,200,OK,EnduranceTestSuite 1-10,text,true,,47875,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,122,0,0
1666139886093,117,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-10,text,true,,643,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/9,117,0,0
1666139886211,116,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-10,text,true,,643,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/7,116,0,0
1666139886327,117,Update_Authors,200,OK,EnduranceTestSuite 1-10,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/7,117,0,0
1666139886445,116,Delete_Author,200,OK,EnduranceTestSuite 1-10,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/7,116,0,0
1666139887508,251,Post_Authors,200,OK,EnduranceTestSuite 1-11,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,251,0,120
1666139887760,384,Get_All_Author,200,OK,EnduranceTestSuite 1-11,text,true,,71767,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,144,0,0
1666139888144,122,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-11,text,true,,637,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/1,122,0,0
1666139888266,123,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-11,text,true,,870,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,123,0,0
1666139888389,120,Update_Authors,200,OK,EnduranceTestSuite 1-11,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,120,0,0
1666139888510,121,Delete_Author,200,OK,EnduranceTestSuite 1-11,,true,,211,227,1,1,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/3,121,0,0
1666139889505,230,Post_Authors,200,OK,EnduranceTestSuite 1-12,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,230,0,113
1666139889735,350,Get_All_Author,200,OK,EnduranceTestSuite 1-12,text,true,,71767,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,119,0,0
1666139890086,119,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-12,text,true,,870,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/3,119,0,0
1666139890205,118,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-12,text,true,,758,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/9,118,0,0
1666139890323,117,Update_Authors,200,OK,EnduranceTestSuite 1-12,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,117,0,0
1666139890440,119,Delete_Author,200,OK,EnduranceTestSuite 1-12,,true,,211,227,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/9,119,0,0
1666139891507,272,Post_Authors,200,OK,EnduranceTestSuite 1-13,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,272,0,120
1666139891780,362,Get_All_Author,200,OK,EnduranceTestSuite 1-13,text,true,,47875,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,123,0,0
1666139892142,123,Get_AuthorsBook_by_BookID,200,OK,EnduranceTestSuite 1-13,text,true,,873,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,123,0,0
1666139892266,122,Get_Authors_by_ID,200,OK,EnduranceTestSuite 1-13,text,true,,758,207,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/authors/books/5,122,0,0
1666139892388,124,Update_Authors,200,OK,EnduranceTestSuite 1-13,text,true,,405,224,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,124,0,0
1666139892513,121,Delete_Author,200,OK,EnduranceTestSuite 1-13,,true,,211,227,1,1,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors/5,121,0,0
1666139893509,234,Post_Authors,200,OK,EnduranceTestSuite 1-14,text,true,,405,306,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,234,0,115
1666139893743,491,Get_All_Author,200,OK,EnduranceTestSuite 1-14,text,true,,95659,203,1,2,http://qualityreleasewithterraform-appservice.azurewebsites.net/api/Authors,147,0,0
