timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665147675354,197,Get Users,200,OK,endurance 1-1,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,197,0,150
1665147675552,36,Delete Users,200,OK,endurance 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665147675588,36,Get User by ID,200,OK,endurance 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665147677392,176,Get Users,200,OK,endurance 1-2,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,176,0,127
1665147677569,41,Delete Users,200,OK,endurance 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,41,0,0
1665147677610,43,Get User by ID,200,OK,endurance 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,43,0,0
1665147679397,168,Get Users,200,OK,endurance 1-3,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,167,0,121
1665147679566,45,Delete Users,200,OK,endurance 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,45,0,0
1665147679612,35,Get User by ID,200,OK,endurance 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,35,0,0
1665147683395,180,Get Users,200,OK,endurance 1-5,text,true,,784,142,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,180,0,135
1665147683577,39,Delete Users,200,OK,endurance 1-5,text,true,,313,145,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,39,0,0
1665147683617,35,Get User by ID,200,OK,endurance 1-5,text,true,,313,145,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147681394,3218,Get Users,200,OK,endurance 1-4,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,3218,0,3161
1665147684613,52,Delete Users,200,OK,endurance 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,52,0,0
1665147684665,49,Get User by ID,200,OK,endurance 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,49,0,0
1665147685397,229,Get Users,200,OK,endurance 1-6,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,229,0,169
1665147685627,52,Delete Users,200,OK,endurance 1-6,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,52,0,0
