timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665147963338,162,Get Users,200,OK,stress 1-1,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,162,0,116
1665147963501,35,Delete User,200,OK,stress 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147963537,35,Get User by ID,200,OK,stress 1-1,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147965342,173,Get Users,200,OK,stress 1-2,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,173,0,123
1665147965516,43,Delete User,200,OK,stress 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,43,0,0
1665147965560,39,Get User by ID,200,OK,stress 1-2,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,39,0,0
1665147967340,213,Get Users,200,OK,stress 1-3,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,213,0,165
1665147967554,40,Delete User,200,OK,stress 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,40,0,0
1665147967594,40,Get User by ID,200,OK,stress 1-3,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,40,0,0
1665147969345,160,Get Users,200,OK,stress 1-4,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,160,0,114
1665147969505,36,Delete User,200,OK,stress 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,36,0,0
1665147969547,36,Get User by ID,200,OK,stress 1-4,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,36,0,0
1665147971341,159,Get Users,200,OK,stress 1-5,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,159,0,111
1665147971500,35,Delete User,200,OK,stress 1-5,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147971536,35,Get User by ID,200,OK,stress 1-5,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147973366,167,Get Users,200,OK,stress 1-6,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,167,0,127
1665147973534,41,Delete User,200,OK,stress 1-6,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,41,0,0
1665147973576,40,Get User by ID,200,OK,stress 1-6,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,40,0,0
1665147975342,146,Get Users,200,OK,stress 1-7,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,146,0,110
1665147975489,35,Delete User,200,OK,stress 1-7,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,35,0,0
1665147975525,36,Get User by ID,200,OK,stress 1-7,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665147977342,194,Get Users,200,OK,stress 1-8,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,194,0,141
1665147977537,43,Delete User,200,OK,stress 1-8,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,43,0,0
1665147977581,44,Get User by ID,200,OK,stress 1-8,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,44,0,0
1665147979351,158,Get Users,200,OK,stress 1-9,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,158,0,113
1665147979509,36,Delete User,200,OK,stress 1-9,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,36,0,0
1665147979545,36,Get User by ID,200,OK,stress 1-9,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,36,0,0
1665147981334,174,Get Users,200,OK,stress 1-10,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,173,0,123
1665147981508,44,Delete User,200,OK,stress 1-10,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,44,0,0
1665147981552,40,Get User by ID,200,OK,stress 1-10,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,40,0,0
1665147983345,161,Get Users,200,OK,stress 1-11,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,161,0,115
1665147983507,35,Delete User,200,OK,stress 1-11,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147983543,35,Get User by ID,200,OK,stress 1-11,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147985350,144,Get Users,200,OK,stress 1-12,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,144,0,109
1665147985495,35,Delete User,200,OK,stress 1-12,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,35,0,0
1665147985530,36,Get User by ID,200,OK,stress 1-12,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,36,0,0
1665147987359,144,Get Users,200,OK,stress 1-13,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,144,0,109
1665147987504,35,Delete User,200,OK,stress 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,35,0,0
1665147987540,40,Get User by ID,200,OK,stress 1-13,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,39,0,0
1665147989344,160,Get Users,200,OK,stress 1-14,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,160,0,120
1665147989505,39,Delete User,200,OK,stress 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,39,0,0
1665147989545,39,Get User by ID,200,OK,stress 1-14,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,39,0,0
1665147991334,145,Get Users,200,OK,stress 1-15,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,145,0,109
1665147991479,35,Delete User,200,OK,stress 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,35,0,0
1665147991514,38,Get User by ID,200,OK,stress 1-15,text,true,,313,145,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,38,0,0
1665147993342,145,Get Users,200,OK,stress 1-16,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,145,0,110
1665147993487,36,Delete User,200,OK,stress 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,36,0,0
1665147993523,35,Get User by ID,200,OK,stress 1-16,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,35,0,0
1665147995344,178,Get Users,200,OK,stress 1-17,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,178,0,135
1665147995523,43,Delete User,200,OK,stress 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,43,0,0
1665147995566,45,Get User by ID,200,OK,stress 1-17,text,true,,310,144,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,44,0,0
1665147997343,171,Get Users,200,OK,stress 1-18,text,true,,784,142,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,171,0,125
